Cites,Author,Title,Year,Abstract,URL,
"418","A Ralston, ED Reilly, D Hemmendinger - 1976 - tocs.ulb.tu-darmstadt.de","Encyclopedia of computer science"," 1976 ","... I. Abbreviations and Acronyms 1879 II. Notation and Units 1909 III. Computer Journals and Magazines 1913 IV. Ph.D.-Granting Departments of Computer Science and Engineering 1927 V. Presidents of Major Computing Societies 1933 VI. Key High-Level Languages 1937 VII. ...","https://scholar.google.com.au//scholar?cites=13305610350000861112&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"324","JJC Meyer, RJ Wieringa - 1993 - philpapers.org","Deontic Logic in Computer Science Normative System Specification"," 1993 ","Luca Compagna, Paul El Khoury, Al?b?ta Krausov?, Fabio Massacci & Nicola Zannone (2009). How to Integrate Legal Requirements Into a Requirements Engineering Methodology for the Development of Security and Privacy Patterns. Artificial Intelligence and Law 17 ...","https://scholar.google.com.au//scholar?cites=9126680613006484067&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1725","ACDHJ Hartmanis, T Henzinger, JHNJT Leighton? - 2006 - Springer","Texts in Theoretical Computer Science An EATCS Series"," 2006 ","Classical complexity theory analyzes and classifies problems by the amount of a resource, usually time or space, that is required by algorithms solving them. It was a fundamental idea, going back to the work of Hartmanis and Stearns in the early 1960s, to measure the ...","https://scholar.google.com.au//scholar?cites=14475276946678815269&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"875","M Papastergiou - Computers & Education, 2009 - Elsevier","Digital game-based learning in high school computer science education: Impact on educational effectiveness and student motivation"," 2009 ","The aim of this study was to assess the learning effectiveness and motivational appeal of a computer game for learning computer memory concepts, which was designed according to the curricular objectives and the subject matter of the Greek high school Computer ...","https://scholar.google.com.au//scholar?cites=18125387640212837696&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1096","P Kermani, L Kleinrock - Computer Networks (1976), 1979 - Elsevier","Virtual cut-through: A new computer communication switching technique"," 1979 ","... Computer Science Department, University of California, Los Angeles, Los Angeles, California 90024, USA. ... Computer Science Department, School of Engineering and Applied Science, University of California, Los Angeles (April 1976) UCLA-ENG-7642. ...","https://scholar.google.com.au//scholar?cites=15797047472544869536&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"440","EL Melanson Jr, PS Freedson - ? and Science in Sports and ?, 1995 - europepmc.org","Validity of the Computer Science and Applications, Inc.(CSA) activity monitor."," 1995 ","The validity of the Computer Science and Applications, Inc.(CSA) accelerometer in assessing physical activity was assessed during treadmill walking and running at three different grades. Energy expenditure (EE) served as the criterion measure. CSA data were ...","https://scholar.google.com.au//scholar?cites=4308423319969082653&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"4229","FWJ Olver - 2014 - books.google.com","Asymptotics and special functions"," 2014 ","Page 1. Computer Science and Applied Mathematics Page 2. ASYMPTOTICS AND SPECIAL FUNCTIONS ... (Computer science and applied mathematics) Bibliography: p. 1. Functions, Special. 2. Asymptotic expansions. 3. Differential equations?Numerical solutions. I. Title. ...","https://scholar.google.com.au//scholar?cites=2918154893006220010&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"404","L Dorst, D Fontijne, S Mann - 2009 - dl.acm.org","Geometric algebra for computer science: an object-oriented approach to geometry"," 2009 ","Abstract Within the last decade, Geometric Algebra (GA) has emerged as a powerful alternative to classical matrix algebra as a comprehensive conceptual language and computational system for computer science. This book will serve as a standard ...","https://scholar.google.com.au//scholar?cites=7573142942407441407&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1909","E Horowitz, S Sahni - 1978 - 202.74.245.22","Fundamentals of computer algorithms"," 1978 ","Fundamentals of Computer Algorithms is a comprehensive book for undergraduate students of Computer Science Engineering. The book comprises chapters on elementary data structures, dynamic programming, backtracking, algebraic problems, lower bound theory, ...","https://scholar.google.com.au//scholar?cites=8333210417600732619&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"557","J Van Leeuwen - 1991 - dl.acm.org","Handbook of theoretical computer science (vol. A): algorithms and complexity"," 1991 ","Handbook of theoretical computer science (vol. A): algorithms and complexity. ... Publication: ? Book, Handbook of theoretical computer science (vol. A): algorithms and complexity. MIT Press Cambridge, MA, USA ?1990 table of contents ISBN:0-444-88071-2. 1991 Book. ...","https://scholar.google.com.au//scholar?cites=16825633272226729738&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1754","D Black, NJ Clemmensen, MB Skov - ? of Mobile Human Computer ?, 2010 - igi-global.com","Pervasive Computing in the Supermarket: Designing a Context-Aware Shopping Trolley"," 2010 ","... This has also been referred to as implicit human-computer interaction (Schmidt, 2001) as computers take action based on implicit user activity, eg, moving from one location to another. ... More Social Science TitlesRelated TitlesView all Social Science search results. ...","https://scholar.google.com.au//scholar?cites=8683395348777787329&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"8278","G Salton, C Buckley - Information processing & management, 1988 - Elsevier","Term-weighting approaches in automatic text retrieval"," 1988 ","... Department of Computer Science, Cornell University, Ithaca, NY 14853, USA. Received 19 November 1987, Accepted 26 January 1988, Available online 19 July 2002. ... G. Salton, HJ Schneider (Eds.), Lecture Notes in Computer Science, 146Springer-Verlag, Berlin (1983), pp. ...","https://scholar.google.com.au//scholar?cites=17898457313367432744&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"715","R Milner - 1989 - Prentice hall Englewood Cliffs","Communication and Concurrency. International series in computer science"," 1989 ","","https://scholar.google.com.au//scholar?cites=5709291516105467036&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"540","N Belnap - 1977 - philpapers.org","How a computer should think"," 1977 ","... Programmers, Professors, and Parasites: Credit and Co-Authorship in Computer Science. Science and Engineering Ethics 15 (4):467-489. ... Department of Computer Science, University of Illinois at Urbana-Champaign. AP Ershov & Donald Ervin Knuth (eds.) (1981). ...","https://scholar.google.com.au//scholar?cites=15229998295170107433&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"332","A Omondi, B Premkumar, E Gelenbe, I Mitrani? - 2007 - World Scientific","Advances in Computer Science and Engineering: Texts"," 2007 ","Over the last 64 years of immersion in computability I have watched the confluence and interdependent development of mathematical logic, materials science and control engineering, culminating in the scientific discipline of computer science. Computer ...","https://scholar.google.com.au//scholar?cites=10589924002555122156&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"2031","DF Rogers, JA Adams - 1989 - dl.acm.org","Mathematical elements for computer graphics"," 1989 ","... top of page ABSTRACT. From the Publisher: This text is ideal for junior-,senior-,and graduate-level courses in computer graphics and computer-aided design taught in departments of mechanical and aeronautical engineering and computer science. ...","https://scholar.google.com.au//scholar?cites=733281221661828765&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"688","REN Feng-Yuan, LIN HUANG Hai-Ning - Journal of Software, 2003","Chuang1 1 (Department of Computer Science and Technology, Tsinghua University, Beijing 100084, China) 2 (Institute of Acoustics, The Chinese ?"," 2003","","https://scholar.google.com.au//scholar?cites=17368966124569685517&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"666","D Artz, Y Gil - Web Semantics: Science, Services and Agents on the ?, 2007 - Elsevier","A survey of trust in computer science and the semantic web"," 2007 ","Trust is an integral component in many kinds of human interaction, allowing people to act under uncertainty and with the risk of negative consequences. For example, exchanging money for a service, giving access to your property, and choosing between conflicting ...","https://scholar.google.com.au//scholar?cites=12923063891476915276&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"459","TA Sudkamp, A Cotterman - 1988 - Addison-Wesley Reading, Mass.","Languages and machines: an introduction to the theory of computer science"," 1988 ","","https://scholar.google.com.au//scholar?cites=13247807555862081058&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"350","GG Brookshear, JG Brookshear - 2002 - dl.acm.org","Computer science: an overview"," 2002 ","New Highlights Includes a larger emphasis on the object-oriented paradigm and networking, including coverage of the World Wide Web and the Java Programming Language. Offers end-of-chapter" Questions of Ethics" in addition to discussions of ethics throughout the ...","https://scholar.google.com.au//scholar?cites=6993596403454551745&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"980","JH Gallier - 2015 - books.google.com","Logic for computer science: foundations of automatic theorem proving"," 2015 ","This advanced text for undergraduate and graduate students introduces mathematical logic with an emphasis on proof theory and procedures for algorithmic construction of formal proofs. The self-contained treatment is also useful for computer scientists and ...","https://scholar.google.com.au//scholar?cites=5955864595598174830&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1649","S Kraus, D Lehmann, M Magidor - Artificial intelligence, 1990 - Elsevier","Nonmonotonic reasoning, preferential models and cumulative logics"," 1990 ","... Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742, USA. ... Simple consequence relations. LFCS Report Series 87-30Department of Computer Science, University of Edinburgh (1987). 4. JP Burgess; ...","https://scholar.google.com.au//scholar?cites=8783026678507602072&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"394","M Ben-Ari - Acm sigcse bulletin, 1998 - dl.acm.org","Constructivism in computer science education"," 1998 ","Abstract Constructivism is a theory of learning which claims that students construct knowledge rather than merely receive and store knowledge transmitted by the teacher. Constructivism has been extremely influential in science and mathematics education, but ...","https://scholar.google.com.au//scholar?cites=6848987597514692106&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"290","AV Aho, JD Ullman - 1992 - dl.acm.org","Foundations of computer science"," 1992 ","Google, Inc. (search). SIGN IN SIGN UP.","https://scholar.google.com.au//scholar?cites=8507780280289495394&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"395","S Cooper, W Dann, R Pausch - ACM SIGCSE Bulletin, 2003 - dl.acm.org","Teaching objects-first in introductory computer science"," 2003 ","Abstract An objects-first strategy for teaching introductory computer science courses is receiving increased attention from CS educators. In this paper, we discuss the challenge of the objects-first strategy and present a new approach that attempts to meet this challenge. ...","https://scholar.google.com.au//scholar?cites=5604699964619008872&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"461","JS Golan - 1992 - dl.acm.org","The theory of semirings with applications in mathematics and theoretical computer science"," 1992 ","The theory of semirings with applications in mathematics and theoretical computer science. ... Publication: ? Book, The theory of semirings with applications in mathematics and theoretical computer science. Addison-Wesley Longman Ltd. Essex, UK, UK ?1992 ISBN:0-582-07855- ...","https://scholar.google.com.au//scholar?cites=6059501890902088768&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"2477","MJ Berger, J Oliger - Journal of computational Physics, 1984 - Elsevier","Adaptive mesh refinement for hyperbolic partial differential equations"," 1984 ","... Marsha J Berger. Courant Institute, New York University, New York, New York 10012, USA. Joseph Oliger. Computer Science Department, Stanford University, Stanford, California 94305, USA. ... Ph.D. thesis (2nd ed.)Department of Computer Science, Stanford Univ, Calif (1982). ...","https://scholar.google.com.au//scholar?cites=5234912447676065328&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"601","R Storn, K Price - 1995 - CA, 1995, Tech. Rep. TR-95?012","Differential Evolution?a simple and efficient adaptive scheme for global optimization over continuous spaces. International Computer Science Institute, ?"," 1995 ","","https://scholar.google.com.au//scholar?cites=10773403691080053885&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1210","P Dillenbourg - 1999 - ERIC","Collaborative Learning: Cognitive and Computational Approaches. Advances in Learning and Instruction Series."," 1999 ","... Intended to illustrate the benefits of collaboration between scientists from psychology and computer science, namely machine learning, this book contains the following chapters, most of which are co-authored by scholars from both sides: (1) "Introduction: What Do You Mean by ...","https://scholar.google.com.au//scholar?cites=10096328462186419019&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"414","D Hearn, MP Baker, B Stroustrup - 2003 - academia.edu","Computer Graphics with OpenGL, 3/E"," 2003 ","Page 1. 1 RIT Computer Science Dept. Computer Graphics 1 Instructor Information ? Instructor: Dr. Jessica Bayliss ? Office: 70-3509 ? Telephone ... systems - @cs.rit.edu) RIT Computer Science Dept. Books ? Required Textbook ? Title: Computer ...","https://scholar.google.com.au//scholar?cites=17823556814077115181&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"3353","OL Mangasarian, RR Meyer, SM Robinson - 2014 - books.google.com","? Programming 3: Proceedings of the Special Interest Group on Mathematical Programming Symposium Conducted by the Computer Sciences Department at ?"," 2014 ","... Physics, University of Cambridge, Silver Street, Cambridge CB39EW, England Klaus Ritter (225), Mathematisches Institut A, Universit?t Stuttgart, 7 Stuttgart 80, Pfaffenwaldring 57, Federal Republic of Germany JB Rosen (97), Department of Computer Science, 114 Lind Hall ...","https://scholar.google.com.au//scholar?cites=10257643179670230509&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"2969","ST March, GF Smith - Decision support systems, 1995 - Elsevier","Design and natural science research on information technology"," 1995 ","... J. Hartmanis, H. Lin (Eds.), Computing the Future: A Broader Agenda for Computer Science and Engineering, National Academy Press, Englewood Cliffs, NJ (1992). [27]; CG Hempel; Philosophy of Natural Science. ... Computer Science: The Emergence of a Discipline. ...","https://scholar.google.com.au//scholar?cites=17199854014202260897&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"345","Z Luo - 1994 - dl.acm.org","Computation and reasoning: a type theory for computer science"," 1994 ","Computation and reasoning: a type theory for computer science. ... Publication: ? Book, Computation and reasoning: a type theory for computer science. Oxford University Press, Inc. New York, NY, USA ?1994 ISBN:0-19-853835-9. 1994 Book.","https://scholar.google.com.au//scholar?cites=3311593523075957518&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1185","G Campion, G Bastin, B D'Andrka-Novel - 1996 - ieeexplore.ieee.org","Robotics and Automation"," 1996 ","... President GEORGE A. BEKEY Department of Computer Science University of Southem Califomia Los Angeles, CA 90089-0782 Editor-in-Chief RICHARD A. VOLZ Computer Science Department Texas A&M University Rm. ... of Computer Science Inst. ...","https://scholar.google.com.au//scholar?cites=5733638987112913912&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"841","L Cardelli, AD Gordon - Theoretical computer science, 2000 - Elsevier","Mobile ambients"," 2000 ","Download PDF Opens in a new window. Article suggestions will be shown in a dialog on return to ScienceDirect. ... Please enable JavaScript to use all the features on this page. ... We introduce a calculus describing the movement of processes and devices, including movement ...","https://scholar.google.com.au//scholar?cites=13065700096409299221&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"235","P Davidsson - Journal of artificial societies and social ?, 2002 - jasss.soc.surrey.ac.uk","Agent based social simulation: A computer science view"," 2002 ","* Abstract A description of the area of Agent Based Social Simulation (ABSS) from a computer scientist's perspective is presented. We begin by defining ABSS by positioning it with respect to the three research areas that it is related to, ie, agent-based computing, the ...","https://scholar.google.com.au//scholar?cites=17225802105593945204&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"688","M Davis, R Sigal, EJ Weyuker - 1994 - books.google.com","Computability, complexity, and languages: fundamentals of theoretical computer science"," 1994 ","This introductory text covers the key areas of computer science, including recursive function theory, formal languages, and automata. It assumes a minimal background in formal mathematics. The book is divided into five parts: Computability, Grammars and Automata, ...","https://scholar.google.com.au//scholar?cites=16594525154262789577&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"296","BC Wilson, S Shrock - ACM SIGCSE Bulletin, 2001 - dl.acm.org","Contributing to success in an introductory computer science course: a study of twelve factors"," 2001 ","Abstract This study was conducted to determine factors that promote success in an introductory college computer science course. The model included twelve possible predictive factors including math background, attribution for success/failure (luck, effort, ...","https://scholar.google.com.au//scholar?cites=14181780414735856061&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"580","TL Naps, G R??ling, V Almstrum, W Dann? - ACM Sigcse ?, 2002 - dl.acm.org","Exploring the role of visualization and engagement in computer science education"," 2002 ","Abstract Visualization technology can be used to graphically illustrate various concepts in computer science. We argue that such technology, no matter how well it is designed, is of little educational value unless it engages learners in an active learning activity. Drawing ...","https://scholar.google.com.au//scholar?cites=5312077268377262035&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"668","GAMBCS Calude, ACDHJ Hartmanis, T Henzinger? - 2005 - Springer","Texts in Theoretical Computer Science An EATCS Series"," 2005 ","This book is an accessible introduction to complexity theory and cryptology, two closely related areas in theoretical computer science. Based on courses taught at Heinrich-Heine- Universit?t D?sseldorf and Friedrich-Schiller-Universit?t Jena since 1996, this textbook is ...","https://scholar.google.com.au//scholar?cites=1656538971777474347&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"197","JP Tremblay, R Manohar - 1975 - rku.ac.in","Discrete mathematical structures with applications to computer science"," 1975 ","The objectives of the course are:? To develop Professional Skills through effective communication? To introduce a number of Mathematical Foundation to be serving as tools even today in the development of theoretical computer science? To gain some confidence ...","https://scholar.google.com.au//scholar?cites=11423635860798681148&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"402","M Ben-Ari - Journal of Computers in Mathematics and Science ?, 2001 - it.uu.se","Constructivism in computer science education"," 2001 ","Constructivism is a theory of learning, which claims that students construct knowledge rather than merely receive and store knowledge transmitted by the teacher. Constructivism has been extremely influential in science and mathematics education, but much less so in ...","https://scholar.google.com.au//scholar?cites=13971464002846657927&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"3478","SC Chapra, RP Canale - 2012 - McGraw-Hill New York","Numerical methods for engineers"," 2012 ","","https://scholar.google.com.au//scholar?cites=3058111317884287262&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"709","JJC Meyer, W Van Der Hoek - 2004 - books.google.com","Epistemic logic for AI and computer science"," 2004 ","Epistemic logic has grown from its philosophical beginnings to find diverse applications in computer science as a means of reasoning about the knowledge and belief of agents. This book, based on courses taught at universities and summer schools, provides a broad ...","https://scholar.google.com.au//scholar?cites=5656321232717189354&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"292","L Carter - ACM SIGCSE Bulletin, 2006 - dl.acm.org","Why students with an apparent aptitude for computer science don't choose to major in computer science"," 2006 ","Abstract The statistics show that the number of Computer Science majors is dropping across the United States. Possible reasons include a reduced number of jobs in the field, an incorrect perception of what Computer Scientists do, and the students' disinterest due to a ...","https://scholar.google.com.au//scholar?cites=5154946707025622173&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1015","D Meagher - Computer graphics and image processing, 1982 - Elsevier","Geometric modeling using octree encoding"," 1982 ","... 12. H Samet; Computing Perimeters of Images Represented by Quadtrees. TR-755 (2nd ed.)Computer Science Center, University of Maryland, College Park (April 1979). 13. H Samet; ... TR-768 (2nd ed.)Computer Science Dept., University of Maryland (June 1979). 18. H Samet; ...","https://scholar.google.com.au//scholar?cites=1414307343700401927&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"453","JY Girard, Y Lafont, P Taylor - 1989 - Cambridge university press ?","Proofs and types, volume 7 of Cambridge tracts in theoretical computer science"," 1989 ","","https://scholar.google.com.au//scholar?cites=9407309101152300183&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1281","W Cook, L Lov?sz, PD Seymour - 1995 - books.google.com","Combinatorial optimization: papers from the DIMACS Special Year"," 1995 ","Page 1. y< y/? DIMACS Series in Discrete Mathematics and Theoretical Computer Science Volume 20 Combinatorial Optimization Papers from the DIMACS Special Year William Cook Laszlo Lovasz Paul Seymour Editors American Mathematical Society Page 2. Page 3. ...","https://scholar.google.com.au//scholar?cites=4239319752493171635&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
